시군구,기타관광쇼핑,대형쇼핑몰,레저용품쇼핑,면세점,기타숙박,캠핑장/펜션,콘도,호텔,일반외식업,제과음료업,골프장,관광유원시설,기타레저,문화서비스,스키장,여행업,렌터카,수상운송,육상운송,항공운송,뷰티,의료관광
강원특별자치도 강릉시,3443140943,8266959137,541525218,157176,896919349,1573266250,6763154061,5680432100,16171932266,2728305380,469358727,907376739,491295206,583291800,0,402876424,384741314,372038435,385306427,34149,706199266,236728198
강원특별자치도 고성군,1880996544,3713962289,301460089,91416,546321043,880135048,3811625913,3097901830,9313030973,1591606401,337574615,510512381,233279642,336627656,0,226925006,195879513,247951428,234872125,108109,437103915,126405689
강원특별자치도 동해시,2113089675,3764047134,292161793,427686,554501328,1150779285,4315420546,3428413931,11386688086,1234628027,267209531,414648141,225348278,364172870,0,251756128,211796110,232739674,258807142,59582,418925990,137765524
강원특별자치도 삼척시,2253318541,3766993857,235116874,175448,532830868,1149512564,4033253347,3790749792,10625543155,1582134431,320413743,457205036,205246698,360465317,0,231508013,234980270,232582358,262119513,118773,510376570,125752806
강원특별자치도 속초시,3708112597,7883514745,482225966,181967,824871770,1874473766,5983119405,6863201624,18120217934,2586624560,573414367,775637912,441016172,682250361,0,448167024,406841291,450160063,509192159,83610,713949441,214296434
강원특별자치도 양구군,1841559009,4120986598,321477786,27420,595759047,1016798249,3271382602,3100547410,10328034006,1567584121,333667077,412091777,234055819,377658942,0,192892276,209487765,72237,234884974,95509,413103858,114881069
강원특별자치도 양양군,1904777228,4322750516,303977251,88447,443695493,1072015461,3735716237,2905040690,9343794955,1616681452,285338021,438997420,230216848,460449514,0,229742234,242058013,217976750,276508123,91609,549024709,112572741
강원특별자치도 영월군,2329491138,4565179605,249597001,104975,459762339,1078013183,4025106154,2967705572,10072742574,1307747940,314962326,431742829,247284849,370698260,0,207498826,206597298,247524,274181505,78328,500778607,131933999
강원특별자치도 원주시,3728605425,7469099855,435217849,598628,903310906,2014398503,5933264814,5673980327,19423081225,2838896083,588252519,790097548,461413542,754791038,20452234107,415591371,416485794,160804,401727243,133921,793563102,189888292
강원특별자치도 인제군,2051184573,4065707442,314278259,137455,495962662,993911742,4238672992,3471403200,11190300030,1554995106,306042574,434813353,222418644,374606262,0,248734187,216068475,494034,276944138,82033,512274312,131208176
강원특별자치도 정선군,1858307670,4162882950,279653813,448992,610616455,1053862191,3567674244,3675592219,11581503423,1605678145,279706286,493273884,250511483,463481065,9506232129,217925223,198567213,511709,239430965,45076,516698171,130088796
강원특별자치도 철원군,1765631692,3825496627,291863833,22329,536702771,1185236387,4261121371,3585210108,10830733912,1337665674,285296266,538888774,255691038,446065863,0,218362431,222615612,606311,269427247,84145,547877124,103450869
강원특별자치도 춘천시,3661149183,7461724677,504478299,161392,910924346,1774113936,6907330974,5186446061,16271115274,2826525917,489805977,763228655,431202458,721999567,16573615334,413284480,330052456,497760,457034009,121275,866479062,238940201
강원특별자치도 태백시,2108092583,4033008321,316894708,480137,563435010,1009584029,3354170603,2871291844,10225743248,1504229383,251841071,531432607,239139071,370503285,0,203339549,244628290,163640,283960390,13717,494147559,103469166
강원특별자치도 평창군,2069069567,3780987575,255111498,455009,445519457,927910702,4174872282,3465241498,10612691295,1227710379,287697215,470610444,214381680,369331675,10436167544,230034549,228731649,475772,225819803,15547,519191861,111925956
강원특별자치도 홍천군,1801412592,4551134525,236286376,494344,579086087,1077360952,3784006878,3123547221,11636410504,1528340247,318231506,540620865,259042342,356925365,9947256971,209117343,215096892,471978,279553733,136067,481893313,124893712
강원특별자치도 화천군,1915313396,3981134305,273264432,123000,522649987,1180058191,4256819957,3775641299,9497971300,1349676884,317577316,521526168,275274896,394685333,0,246392659,207179071,147798,251764217,30550,527132663,103516899
강원특별자치도 횡성군,2379969203,4317159644,305721258,586870,474871862,934571696,4348967150,3803511959,10173491151,1575031222,318142542,495991350,248065751,350319746,8923604750,240009332,225503332,472780,291095566,34613,525242653,141639527
경기도 가평군,3087232546,4373378765,386894743,103140,554049756,1152630195,5124025825,4347528675,11681508921,1557534094,412132215,543811686,324146555,518027390,0,246683464,311976344,376371,354554170,141161,709550572,158566183
경기도 고양시,4353712518,8350944117,659196588,336765,1092323396,752861843,2719800184,7062300371,22617696520,3321833088,737569313,1146300796,589106940,963844858,0,478846621,479323799,240465,661220396,83221,1265751724,229482980
경기도 과천시,2826735424,5242376141,394960493,381244,675219197,372039178,1485796472,3760279095,11964574320,2057676720,400175851,571171982,321242250,535022141,0,241069553,273738621,442909,306576524,68361,562406763,134038647
경기도 광명시,2473561971,4938866452,329593822,714229,673956049,428612046,1732932059,4487516680,11630656860,2085661357,395160880,689324005,324219219,499343916,0,309761098,312536408,358074,322854354,93137,674794394,134330390
경기도 광주시,2758514092,5110229409,408561336,482024,573819737,374670864,1472785329,3630494835,11390886470,1907327571,373292807,631116183,325689203,508679299,13779080332,298921435,273822549,491894,283833047,60291,536623379,167724164
경기도 구리시,2802695539,4441308402,315698814,555948,632894003,464747212,1673717608,4662225690,13586773746,1840117553,422935719,566609241,262250118,418934182,0,279497128,291998139,134812,340429126,10147,636824227,148057755
경기도 군포시,2220138777,5593148663,369125374,675761,626174234,451072917,1714429834,4928928418,11393998910,2063438669,373367546,561460280,285748768,575103620,0,269229527,292824380,520552,329346688,31268,527818184,138547808
경기도 김포시,2635354928,4706874748,324141593,384592,640447492,483097499,1713084927,3979499593,13689009088,1678399202,362727575,511539306,312464992,492725965,0,315544952,247072907,59533,281509064,14074,638244778,150033957
경기도 남양주시,2381091027,4937945934,296267228,95764,704778983,407121582,1491501802,4230010566,13427956571,1904420167,354108488,579932253,320920104,436324134,12065332242,290749049,318539114,164731,295555835,128529,568843605,143204414
경기도 동두천시,2571646193,4554388400,328769309,118743,674586239,397675524,1499785301,4164087096,12485923121,1813038847,381020846,597382919,311876095,483949254,0,280518364,262202268,86627,354013192,45889,603409433,146539457
경기도 부천시,3003759965,4636602430,309967349,1996,568654610,409967752,1509486853,3810891216,14562178171,1614812265,390725493,594600595,350552907,424570762,0,329279500,312134660,299985,317638499,19561,620419385,152563611
경기도 성남시,4660701434,10778550278,583207067,552047,1112852982,811368820,2648858279,6849121101,24302548524,2939253464,666948955,958489674,530997509,898399078,0,497275433,453336038,535852,540849464,8201,969615271,296087295
경기도 수원시,5052951405,10039915105,647981803,643830,999205441,875466338,3116678899,7612178381,25483667777,3707166493,636072053,1081780340,594046876,963580860,0,561482909,534011706,44912,542416102,109122,976940744,274886089
경기도 시흥시,2960341703,5117575622,366599685,432748,707257950,508737266,1693796340,4201022752,13058793706,1815624966,372956870,574739783,297846695,415269788,0,274733369,279124418,420455,308521755,106231,654577302,148823149
경기도 안산시,2759252977,5267788877,387478577,467768,614336539,467218900,1353062518,4271347085,14084661689,1971765649,360972218,683584399,255231379,523906607,0,270223040,288538273,49140,332000888,5385,618649123,162040564
경기도 안성시,2560538802,4694869430,337290369,520290,634242959,387794682,1566372385,4056059436,13170744811,1958256259,325722817,543128920,282618632,507993676,0,250701245,321872459,99091,360747601,78882,595771654,126334462
경기도 안양시,2211339140,4756219369,395599670,242997,579030898,496432741,1693619124,3628463142,14119182633,2014793652,370458683,598871114,301176607,409587977,0,315071061,227835478,29350,323434649,157627,573305069,143738905
경기도 양주시,2885498375,4990041369,327773564,310367,594831546,432979599,1433185003,3744666575,11871037560,1916435495,346424502,532201184,279894219,500961027,0,278411228,279889684,336175,383897304,29828,541736166,167287669
경기도 양평군,2450674049,5811155736,315669900,89123,637634506,1468646889,4839083474,4093742691,13922732493,1807214953,389952269,591546709,303421983,524872804,0,256306125,239232503,423108,307124731,109690,644250925,176823038
경기도 여주시,2842908520,5918711551,329086042,467221,610044564,442112241,1420791497,3652544958,14624580424,1628488773,394209970,534479118,261103686,437564490,0,311136167,307312769,352270,293717502,111707,662402040,131641648
경기도 연천군,2212195739,4838684575,288588806,255354,682827533,462649010,1796172144,4465704973,12097438118,1940915355,364900568,517742221,316953359,471193628,0,259421108,310823391,432766,347685885,37284,616512215,177617036
경기도 오산시,2627359897,4674060793,337758277,37316,676338960,443199806,1431809795,3854419389,14560972435,2008329731,382975393,531335819,274154909,411209647,0,253928802,281282086,168463,330468333,96543,524147622,136700687
경기도 용인시,5138280933,10256305481,667847875,332915,1125569780,829979651,3133806671,7336726386,25591833260,3205052902,637835266,1193533940,490912330,777363797,26281780829,438173236,551409233,243648,653013691,15754,1238539158,270336678
경기도 의왕시,3027575928,4726629653,353967503,73532,618712879,453933719,1402264643,4125568966,13345760114,1683260350,403270871,536056408,254415275,500761754,0,291617602,267906985,385732,292973278,125852,544643828,155520604
경기도 의정부시,2522968489,4600706079,384768328,628213,674276970,438787100,1433904422,4970976188,13910163275,1919452049,420092281,651434917,318063089,576059001,0,280889103,302271328,510007,290903065,55444,684227503,153014863
경기도 이천시,2587339594,4844334509,300667578,377650,710489833,493178236,1767711214,4286930381,14840876663,1998436101,352099752,685395921,248435776,493728389,11848339836,245273229,234923951,67673,314330045,54241,601817130,164899673
경기도 파주시,2461459517,5310294433,400214154,123247,616327982,420978908,1878967436,3671472789,11779492813,1710388304,422328325,528311508,263616951,423966467,0,232336369,266235278,310449,367657934,66561,613667810,157990571
경기도 평택시,2242543394,5232230799,327079716,224959,607242430,373190879,1401892303,4964645832,13015093510,1757129681,391396401,542631806,344695546,513746486,0,270244112,309471658,556647,370540688,102856,695386429,135170130
