시군구,기타관광쇼핑,대형쇼핑몰,레저용품쇼핑,면세점,기타숙박,캠핑장/펜션,콘도,호텔,일반외식업,제과음료업,골프장,관광유원시설,기타레저,문화서비스,스키장,여행업,렌터카,수상운송,육상운송,항공운송,뷰티,의료관광
강원특별자치도 강릉시,3247212181,7594155730,870494523,152218,781282529,2685644888,4672027274,3642319942,13556407695,2460752399,2143389041,1374022480,688610045,483883874,0,343104611,434154411,1406711092,465795891,32010,616184349,201527118
강원특별자치도 고성군,1787781995,3341801907,490108887,84666,438031326,1525854404,2630440511,1998823797,7956661024,1449928074,1636568958,762626273,343504972,293492737,0,182729452,209645074,927228309,266429960,104012,370018275,109580650
강원특별자치도 동해시,1881848901,3667456076,487767981,391871,489181352,2001413482,2847264245,2196863625,10000242589,1166954905,1247903039,633069381,348603548,329709573,0,215650499,234336919,879531276,311198918,53848,335519719,112749043
강원특별자치도 삼척시,2072473755,3436267496,396573055,160741,476542567,2008938375,2734012728,2476346034,9113684553,1447862976,1503274257,725639611,315418807,324578428,0,196621330,246776760,891110929,315797355,113266,442002888,110522595
강원특별자치도 속초시,3532280217,7102111836,814312080,159247,667233352,3078296392,4254387513,4307393380,15779262763,2436678365,2523886149,1155391825,648784826,582220518,0,368250290,445689995,1802477554,626582981,81243,618042715,167097986
강원특별자치도 양구군,1710926363,3748663895,518218322,26270,484284153,1766507950,2368942985,1967652132,8591067404,1442103188,1550577386,615253386,347614959,326620178,0,174063800,234068045,281067,275355939,88323,361079846,92222229
강원특별자치도 양양군,1740081003,4016249291,501885103,80562,376561755,1882278935,2594175319,1835581618,8132339015,1523827442,1290445788,667216821,358964867,371301150,0,205057200,259589955,891798073,340164996,89015,441279213,99311837
강원특별자치도 영월군,2107764839,4212252806,430993103,102436,368744628,1836865731,2744057047,1858438127,8543181716,1178719124,1421448245,643074251,392633425,311289631,0,168542196,233811449,977520,308211071,71500,435730009,110136749
강원특별자치도 원주시,3316987259,6760223912,754353161,525764,802092343,3510398141,4232514448,3546069719,16395781761,2500775673,2670251465,1238810043,683616167,644284154,0,353685911,455324254,609496,474910437,122850,657734947,159461015
강원특별자치도 인제군,1957428428,3984995926,537145268,134341,407158945,1765202167,2761751755,2352460627,9379567289,1424793617,1448595194,625671405,337152527,314522884,0,216797152,231259266,1980715,335218383,70909,434098880,109925314
강원특별자치도 정선군,1743184042,3806851252,505959287,407690,510805319,1838105814,2373681433,2517630928,9386362277,1518366024,1315350046,742837236,360577810,363113108,0,173812575,223391288,2047252,278641074,44661,430923673,116203590
강원특별자치도 철원군,1672259825,3521321455,511202533,20687,437014505,2041216326,2787624281,2274253682,9564297230,1295246372,1313054916,788499866,399664616,366611962,0,200280762,233340791,2439324,341118792,79949,459997408,84704731
강원특별자치도 춘천시,3376757478,6887280387,875867869,155453,757874622,3008624107,4764492219,3246498211,13256717315,2573479702,2255582536,1131335241,636314138,610306883,0,342909622,361188960,2033941,538969368,113035,726032940,198325871
강원특별자치도 태백시,1862553359,3769242390,520322017,446693,465496651,1711340540,2396651376,1991634133,8320612458,1396238849,1240328849,816173541,340279517,315735254,0,170248382,270980977,648094,341388061,12212,425550858,86673213
강원특별자치도 평창군,1941493912,3616710245,437254809,407575,364875379,1601773373,2833723981,2286701079,8488977443,1131010197,1430315628,718812740,336553541,316502375,0,206261133,256248476,1975088,259998158,14439,413933090,90107624
강원특별자치도 홍천군,1687254656,4102209899,419280537,484064,463160233,1889202424,2733510520,1922906631,9477683837,1403513975,1443435153,819949198,369896572,301718655,0,168727485,238567986,1849060,338848387,121890,375298665,103951291
강원특별자치도 화천군,1805597611,3720734154,460681828,115202,443540634,2055648550,2889160038,2400282249,8035529320,1205094401,1463864596,766778147,417160130,333977616,0,209470107,229242423,636229,288622923,27985,444651715,86220380
강원특별자치도 횡성군,2082584718,3948047287,509970575,536333,384830749,1564810558,3121287638,2374893087,8333289517,1456735687,1486935241,729269733,358731663,282873957,0,198520543,237451673,1919401,337532830,32455,464333605,116369172
경기도 가평군,2842821347,4305063988,663406625,89172,485105043,2048701268,3582610807,2773531976,9560134626,1423080227,1820082961,774799366,494037456,450457723,0,215743414,354348124,1536440,429149963,130550,592630456,129829878
경기도 고양시,4239875231,7603689365,1211794142,321766,938556203,1258974354,1909865856,4619248571,20003271780,3037947195,3495618581,1789928392,909466624,792815476,0,388172100,543278443,995551,795036629,73839,1005933939,201752907
경기도 과천시,2588633539,5050616447,680769587,339472,597706163,633037638,978303067,2607364248,10486207985,1934094210,1891566183,838194660,470564075,463563494,0,206682595,297047954,1714408,368626526,60493,466348440,114009617
경기도 광명시,2292340760,4538103685,559223991,695069,543926476,707841254,1243164371,2905242585,9615602130,1872360329,1933489073,982790763,464735494,414823545,0,265938658,331723314,1468575,391480630,88630,590336626,112132668
경기도 광주시,2386805551,4686996599,702221272,433151,462348157,636973042,970468154,2312374732,9318588198,1710117890,1793814281,958646988,511140617,424265882,0,253309653,289504635,1882579,344718977,54991,444481206,136472636
