시군구,기타관광쇼핑,대형쇼핑몰,레저용품쇼핑,면세점,기타숙박,캠핑장/펜션,콘도,호텔,일반외식업,제과음료업,골프장,관광유원시설,기타레저,문화서비스,스키장,여행업,렌터카,수상운송,육상운송,항공운송,뷰티,의료관광
강원특별자치도 강릉시,3004194747,6719205893,995735705,132387,808747645,3173362936,5530669064,4089673355,13744913563,2430179694,2490871018,1654708582,687232744,534901412,0,385585528,501009274,1266573820,436617738,35774,674058723,198674124
강원특별자치도 고성군,1570122942,2989825838,528817071,79473,505777595,1884108550,3261927745,2184372352,7541202816,1440294279,1778542763,989908697,329444826,326268802,0,204626728,248489795,886033887,244350618,111683,396281478,109384738
강원특별자치도 동해시,1739188879,2918647021,535766665,373666,536188909,2449308308,3392117307,2387812638,9750839102,1202085591,1398418487,787961273,344097107,352057618,0,223517324,266480426,795584929,281762490,56177,386081674,113669051
강원특별자치도 삼척시,1872313152,2957499706,432490815,147760,498307718,2318978718,3122328264,2804005665,8896988042,1536983182,1815160251,899165640,326737314,336060550,0,214024085,281796228,808110231,295065982,116976,463739200,105635898
강원특별자치도 속초시,3163376715,6486819913,909589060,151144,734124008,3690368936,4801187182,4871486634,15185832473,2318768327,3076653399,1453562394,657112449,612972687,0,406934849,500023915,1585490867,562580523,85810,666541513,178780231
강원특별자치도 양구군,1571986016,3105706158,586487798,24314,556505080,2027776258,2688811256,2288338866,8896390271,1406970836,1781489568,770283077,359500373,364682122,0,186154958,260080055,263897,269602666,91699,379302016,95957381
강원특별자치도 양양군,1660371308,3514670799,540812835,74952,422373540,2224646819,3058710038,2103993463,7949442328,1425157802,1480733190,786391044,346771937,420033667,0,223925898,305936625,825641207,302975604,92377,507877610,94638216
강원특별자치도 영월군,1975701879,3601954176,455344780,94652,428606632,2085140041,3183498652,2108386309,8556082571,1167041500,1649370322,809915939,382735837,347970519,0,189365789,276970197,927762,281884974,81698,442824909,111935635
강원특별자치도 원주시,3013600864,5948124060,868938554,495914,836978370,4007144963,4946822362,3818131799,16551500471,2523377564,3055453289,1525141815,705684652,676378829,0,407265203,505697152,563373,452990282,127820,693658894,166353529
강원특별자치도 인제군,1715919207,3163638440,620141925,118206,456434911,1938774190,3436220095,2508140710,9394199363,1408249856,1684001949,768986983,351952470,333170837,0,241580760,260756135,1723953,312745124,81694,456457245,112068649
강원특별자치도 정선군,1554399981,3354925464,535612912,391665,569059682,2022212346,2858096569,2782257057,9194018863,1525881391,1546107051,927630652,359787632,402489459,0,190959020,257319964,1926519,257091094,46138,502817734,112973607
강원특별자치도 철원군,1540692537,3120076148,553428347,20050,467440833,2402573441,3301311647,2604988383,9600134836,1241244796,1489977018,1001310817,380870765,407813601,0,215627775,275115088,2233006,296094702,83264,487260559,85739576
강원특별자치도 춘천시,3026773341,5844651122,919272169,144218,848744056,3446232867,5477882786,3639424811,13302051831,2465507952,2626359215,1350321357,612198800,654538166,0,382844252,422737910,1845238,476149830,118402,811843595,202803052
강원특별자치도 태백시,1802770328,3145898275,555908595,405897,504918868,2005672260,2884729616,2097054518,8931385028,1399862543,1368894424,979353252,355012125,341466730,0,189785289,313809369,599208,315025056,13171,469471651,87680357
강원특별자치도 평창군,1848950973,3031019197,443141194,366237,426326015,1859014293,3421997661,2563803657,9015320099,1198959413,1632120361,872094188,330687734,341595593,0,209187975,295131860,1793660,251574405,15285,444706221,91368281
강원특별자치도 홍천군,1518927939,3391523210,463684016,444312,532158859,2216273920,3257539878,2175524270,9742538528,1504590903,1655110172,1002788198,385326100,325065868,0,197328847,259598855,1687958,303476691,130858,438438599,103645194
강원특별자치도 화천군,1643365748,3141582557,510156923,106479,511391057,2392507730,3415364330,2532333861,7948124986,1173835536,1656430553,982879168,409498368,352162000,0,224991457,263102569,547173,268586297,30753,486073579,90734778
강원특별자치도 횡성군,2004812807,3354777340,550678884,484539,432959887,1779841304,3508184620,2574747717,8211678458,1533962897,1652751096,891630414,349235896,319478474,0,212020144,290992141,1735940,318000656,34272,515512058,111781348
