시군구,기타관광쇼핑,대형쇼핑몰,레저용품쇼핑,면세점,기타숙박,캠핑장/펜션,콘도,호텔,일반외식업,제과음료업,골프장,관광유원시설,기타레저,문화서비스,스키장,여행업,렌터카,수상운송,육상운송,항공운송,뷰티,의료관광
강원특별자치도 강릉시,2785679051,5729596152,593933038,116101,565800246,1383505336,3247893618,3016726775,11037436108,1936874674,1399004317,762267645,456457265,396489535,0,265161737,295886769,483429480,327193531,22695,593745331,197991148
강원특별자치도 고성군,1485439292,2540088134,325939294,67215,329751614,776700753,2016531879,1618634695,6462916271,1213705908,1027802590,440621591,222506660,244373730,0,138622342,142351919,308768078,186298226,68618,358484221,110170330
강원특별자치도 동해시,1584340726,2725346250,328523952,316751,353224160,993020580,2113219741,1830370257,7908494580,909725739,796581997,371642622,228259255,257676897,0,161236828,151340909,298158305,211139854,37633,344937582,113997117
강원특별자치도 삼척시,1719961219,2757750057,274110042,123239,327138842,987814872,2041189383,2073982015,7816310089,1179381026,972433879,414930163,206413967,249872180,0,148599742,161275610,309190465,215366023,75832,412832562,110465866
강원특별자치도 속초시,2900483521,5508507477,546425968,129214,485711144,1605906583,3069262342,3437167568,12865905944,1898063813,1639210256,646423982,442450302,465647281,0,274764710,295838137,585171085,412660593,54451,627274715,177041487
강원특별자치도 양구군,1447013614,2997933828,355792482,19082,367943696,854103383,1709287978,1710941807,7075879019,1136243753,1026969354,351713374,240807839,257093779,0,129483168,151347981,96727,202895559,59402,349688491,94674220
강원특별자치도 양양군,1503945290,3186799413,337202481,62371,274067226,918341527,1952145710,1511116319,6973249866,1239334788,816284876,361523784,243284782,315137372,0,148452422,166797419,304604180,226332338,61604,441912966,98986135
강원특별자치도 영월군,1699614611,3319652696,287210106,80940,265692725,909160335,1952631292,1585642948,7280404293,994158097,911505972,378637654,251691221,256981033,0,123836406,154159239,346738,225811615,51670,411902551,110397245
강원특별자치도 원주시,2764712878,5134434470,522360589,428667,550066970,1700453516,3062205091,2874733561,13476840123,2038907223,1689874329,716547080,482444508,529978415,0,268457824,303279252,208170,342190633,84110,642466138,161621207
강원특별자치도 인제군,1601718708,2854107522,380110464,98341,290899604,834661447,1979996074,1909773671,8011945525,1159084864,884718875,381450180,227357423,259275219,0,167642763,155851898,636130,227188154,51182,404349004,110936403
