시군구,기타관광쇼핑,대형쇼핑몰,레저용품쇼핑,면세점,기타숙박,캠핑장/펜션,콘도,호텔,일반외식업,제과음료업,골프장,관광유원시설,기타레저,문화서비스,스키장,여행업,렌터카,수상운송,육상운송,항공운송,뷰티,의료관광
강원특별자치도 강릉시,2861994172,6560361389,868450812,138735,1105898651,5505739813,7682628485,6036484107,14653946198,2879617121,1389725022,1709770243,791760038,504897654,0,457974229,734277022,2982082317,421199594,44985,660353272,237736681
강원특별자치도 고성군,1659020171,2873302359,478217613,78393,676488975,3090404639,4778070605,3208965111,8640240565,1793132369,1053975850,1004179592,363589989,289675141,0,247220636,362535448,2060051478,252220353,139037,384887793,124613872
강원특별자치도 동해시,1703184649,3002148019,494024182,357464,719968901,3862377200,5242149885,3716098155,10495254077,1399966125,831645035,778917258,369993911,308452222,0,290499958,370353592,1833209248,301076843,73398,388567872,137911007
강원특별자치도 삼척시,1918415895,2981506215,402254182,143439,693877826,3824166252,4769213773,4107061856,9829355859,1687168883,1019072069,885723331,337367829,307109279,0,265493557,420974409,1927301066,302600533,161549,483418385,129670066
강원특별자치도 속초시,3066213205,6393341612,819233810,149216,968148863,5934728042,7162348863,6852992730,16613396012,2865034184,1676792431,1447096446,686753912,568832764,0,506030614,729997451,3791840343,572815997,112039,673343526,202393294
강원특별자치도 양구군,1617899541,3117154958,526151935,23100,710124287,3160188068,3875745982,3347640985,9472890084,1737314924,1010194776,743213989,384718078,312285519,0,231285590,371427971,590859,273544983,121243,391782721,109047868
강원특별자치도 양양군,1588626113,3573709439,518158990,76494,553402771,3581523485,4649716457,3058270682,8856936785,1803129346,816995226,807100696,395068318,393200296,0,267671302,443217607,1887615700,313406387,120708,496715728,117369809
강원특별자치도 영월군,1985076900,3705747174,416244960,93176,550271430,3679490539,4871300693,3055075844,9269519946,1439490546,908847525,833806916,420669592,317779666,0,235414207,374481391,2070113,301826038,103854,472945589,128215388
강원특별자치도 원주시,3041658170,5605447463,758644470,511322,1115886701,6853909365,7091173988,5832795133,18498205495,2952386204,1726120755,1505535069,738101916,637782308,0,493932445,754174478,1318644,427135750,170213,694473200,199578567
강원특별자치도 인제군,1778343839,3170385115,565283809,124160,604318303,3218316341,4931144895,3886433140,10453604423,1675590798,882401779,758911056,382304182,313171063,0,302383893,375336856,3935213,323596202,98893,469037513,133434425
강원특별자치도 정선군,1563601821,3242524770,491167795,395884,747156192,3452229006,4257087051,3949524149,9999278789,1759147968,822079552,893113248,396306014,375094358,0,242795161,364351792,4233204,268642258,58351,499216079,130064738
강원특별자치도 철원군,1580068165,2896107746,515052943,19127,655783061,3810392687,4721532222,3894372469,9833874161,1544701860,813941872,981900777,433889334,363211510,0,262195334,409283522,5215087,302423909,109120,485656781,100992670
강원특별자치도 춘천시,3216189130,5595692936,878273047,140040,1153626813,5839745639,8306812847,5400340404,14791403284,3027977677,1455899066,1353539679,661656214,622119698,0,457570402,607242895,4386286,503819408,153316,806887878,232626530
강원특별자치도 태백시,1700134459,3026488161,513837229,407298,662898647,3099243677,4022844258,3180574233,9480559828,1654911791,765129342,1001672444,370889548,297581241,0,240533528,457494863,1390529,312077783,16418,489057974,100390117
강원특별자치도 평창군,1821093075,2903490862,421628441,381991,550023558,2915291171,4979435737,3771528219,9875648247,1404557047,894759304,871396488,360516975,314580530,0,262057871,428875653,3921830,238684183,19561,452702517,108458709
강원특별자치도 홍천군,1527328013,3423090653,399033918,428455,715705698,3745533591,4561448363,3099863982,10121271364,1724874901,950094966,976477255,413584366,306089147,0,225932077,375786999,3753304,312755855,179337,427409421,122323496
강원특별자치도 화천군,1645458217,3013519436,481759158,103118,642046791,3911586331,4803112750,3912794382,8705005841,1443145959,972739019,1014421105,447227022,332697290,0,278924263,394117900,1256617,262561923,37580,476979299,107589269
강원특별자치도 횡성군,2015710311,3212605675,524655576,487223,570501869,2906096687,5355005735,3889258252,9028897278,1823577341,944578961,861188077,389015446,279148268,0,265727444,398527890,4049693,302590667,44306,513789691,141179030
경기도 가평군,2495320353,3525554792,618763713,86388,710073358,3838097152,6347645750,4535790415,10149649155,1648444731,1166429478,944186950,534693646,431507870,0,285749191,559448080,3270900,396242343,187571,652063674,155428226
경기도 고양시,3813077072,6681469751,1178028551,293601,1320550246,2491148272,3457571083,7226034354,20266384575,3535082217,2124972424,2146187146,941012916,777506429,0,549063029,848208659,1953234,705047564,107534,1152661445,238395856
경기도 과천시,2380429235,4271184679,683675221,309422,852030880,1286738004,1747856675,4246163462,11645845784,2193131543,1184204570,1043752224,538021790,451068545,0,273766581,479070519,3578954,331304262,89960,511388118,136789945
경기도 광명시,1968836551,3911366376,542209315,620030,833091116,1348424684,2041243717,4783331285,10476618813,2148230259,1238421387,1249996866,527970520,426244789,0,374506670,537854098,3050370,345356926,118233,646049782,137060246
경기도 광주시,2259307747,3989621405,660462247,411682,711447087,1245064862,1659540800,3894974319,10355261002,2069555767,1135461219,1197848844,557519797,436028765,0,356636503,482121308,4142920,329051760,75503,515136881,162712416
경기도 구리시,2305007968,3609186197,574894921,503109,814129282,1558108037,1885709917,5166502279,12011077078,2024438139,1255324195,1101908797,430276586,367357595,0,343161585,509709733,1172069,379139507,13166,591095754,146421721
경기도 군포시,1852909902,4395391601,585624833,608217,757934522,1486891196,2032588565,5115860681,10626424010,2119430180,1107535527,1034345363,500396304,460876043,0,315394520,532158363,4494759,377662211,38689,500302157,129579049
경기도 김포시,2282181777,3823570532,572464348,348889,819456628,1609153835,2016955824,4113930581,12853365192,1913728900,1066513293,986347930,496525280,412821418,0,360263026,440422290,491223,320060527,18072,597864974,148838227
경기도 남양주시,1995605247,4107338116,496243718,84686,877766469,1328268281,1737885448,4368298562,12190360764,2074266709,1103394887,1099363594,544503180,353303560,0,336739448,542627109,1343446,312024263,155756,515161342,134857709
경기도 동두천시,2068709013,3416087548,548125490,98570,813130847,1371611434,1864862985,4599138791,11180917555,1998749483,1080217884,1179112542,504166159,421548971,0,319493222,500731022,712131,385887702,57714,566026916,144022710
경기도 부천시,2574980075,3454076147,554758232,1805,712409020,1341892498,1845732417,4057031154,13310874234,1700610338,1165252344,1107499157,537724767,365719453,0,373203933,547205521,2458043,367578923,25165,570036634,150339306
경기도 성남시,3847264367,8073125811,1023679184,493638,1451024746,2684084417,3115555535,7047753361,21842027561,3374246817,2104148523,1776716985,863948954,750161872,0,564799741,793635850,4612639,587248872,10605,948696145,293984719
경기도 수원시,4117835898,7458208015,1068812327,545271,1284409728,2961492803,3558498401,7847360013,23804891190,4153912825,1914389943,1948306046,958407939,809933720,0,617383362,1019181585,374739,585311234,142185,896735125,282733020
경기도 시흥시,2457268871,3835865747,594569716,354104,830730293,1615271108,1986767076,4593256716,11674107250,1982755656,1104961013,1086305801,511364124,357135554,0,312454857,495736823,3662566,354281463,147369,601801013,150697261
경기도 안산시,2350062262,4237046106,670687455,419053,763871992,1536489273,1605409285,4462340087,13135155934,2137805216,1106814873,1250298815,435572933,457537482,0,320856078,550168226,426457,351213636,7326,552935731,160400493
경기도 안성시,2275373474,3902917428,584590456,453996,791193939,1372208177,1793419400,4360829498,12204721746,2224110367,990209122,1027324355,437413475,440399929,0,277890114,569365246,808406,389009593,105772,542177627,134362965
경기도 안양시,1899460519,3584329063,662181030,203887,732372896,1599664647,2160657953,3860264308,13863853642,2106070595,1089554770,1176100427,464419145,363534656,0,338149518,440411244,249347,357345394,202543,529027324,140854842
경기도 양주시,2300256734,4079716493,547796451,269457,749784447,1493397276,1647248335,3820802655,11241388191,2045913488,1027752702,993568982,463164821,422219666,0,303932430,517518112,2841815,423153380,39826,482369374,157211963
경기도 양평군,2053881479,4785972401,550435575,75377,760634162,4702930862,5959355437,4366442924,12902393982,2011765233,1106770533,1092840581,488311230,433814426,0,299030187,446501753,3596563,334269231,133713,606664491,178314998
경기도 여주시,2448036029,4409094014,560906916,404421,717558892,1549486120,1671093809,3888969904,12897256815,1724771082,1214990469,1036856399,434275905,378143361,0,350912943,542484819,2880017,323577038,144329,598132260,126738417
