시군구,기타관광쇼핑,대형쇼핑몰,레저용품쇼핑,면세점,기타숙박,캠핑장/펜션,콘도,호텔,일반외식업,제과음료업,골프장,관광유원시설,기타레저,문화서비스,스키장,여행업,렌터카,수상운송,육상운송,항공운송,뷰티,의료관광
강원특별자치도 강릉시,2981008397,6463948168,945772954,124250,704257187,2355313095,4616617223,3802055926,14269944636,2613000138,2071718866,1563365615,732537981,533871540,0,354554973,439281888,1237699148,397456599,30981,654152900,226276181
강원특별자치도 고성군,1599596246,2966413848,556818619,75228,418606082,1343450878,2697957878,1984383142,7895546182,1656507919,1643252577,926398056,345397870,304217436,0,192631869,211152685,790077349,235328222,93341,388262753,118163797
강원특별자치도 동해시,1723052189,3128582535,539823557,341673,430660011,1754207862,2987176916,2238541355,9885696326,1239824177,1319177545,737116509,338196402,339158381,0,210559683,229090286,742508540,274906843,51700,379382702,123995838
강원특별자치도 삼척시,1944883007,2989671888,432855211,132931,417893999,1565528495,2820113896,2467512375,8891857465,1575860788,1525152260,830682722,321459193,340728947,0,205754545,253000106,735409346,266290187,104515,466339272,116327645
강원특별자치도 속초시,3261400127,6418474775,889267179,143753,622584709,2476728415,4154808656,4143689374,14782096318,2501889633,2590467098,1298495251,631490129,632152039,0,377903781,421120130,1494815341,495977262,71493,700315230,188768923
강원특별자치도 양구군,1603741345,3106155637,584678867,22439,440070091,1405991162,2347601982,1954685902,8917632069,1573293383,1503732386,706317023,357515323,346737594,0,168002038,225091043,235975,247099184,78994,367691560,100783274
강원특별자치도 양양군,1597497434,3608680896,552136578,67651,357696035,1517914336,2697717131,1926755237,8190801074,1604194429,1329064216,749017426,355282541,407641084,0,200444515,250966279,711391515,283010490,80414,490647946,103306064
강원특별자치도 영월군,1872079936,3542220645,463705179,83797,351946077,1503097262,2697017723,1955366524,8794981065,1286950177,1507087522,741635019,393580058,337166377,0,166798918,236571580,850030,260652223,69428,457081304,122712064
강원특별자치도 원주시,3166934644,5926254353,829029246,474753,715649738,2827430486,4043367617,3663103561,16782738074,2825538442,2663625980,1396577806,706970212,679434263,0,368517673,433699157,520359,402225051,112051,730130066,185354045
강원특별자치도 인제군,1775547357,3125783721,616092724,110905,380857744,1474178818,2827928273,2375327604,9617252678,1479179100,1379957613,734763629,350931842,347407389,0,223358009,239665130,1614132,279688679,69561,465041204,124540960
강원특별자치도 정선군,1638045344,3183343389,517170499,346909,451434571,1526811744,2484787828,2371344095,9368663790,1643098366,1302496595,821884111,364284393,410596982,0,186715021,217752604,1748432,240497003,39411,477114367,119248346
강원특별자치도 철원군,1481445556,2934366148,552846459,17322,390103937,1685354498,2865053311,2247952389,9538348622,1391013973,1302493787,953442332,378073625,401077786,0,190022953,233063452,2044955,277791013,75539,497076989,97563444
강원특별자치도 춘천시,3087500084,5586229970,946450491,132871,692602652,2544705142,4572604844,3410891323,13210998567,2769612360,2440641019,1344182493,654702543,685688924,0,353621681,377148477,1728889,459820135,101992,837119841,218853074
