시군구,기타관광쇼핑,대형쇼핑몰,레저용품쇼핑,면세점,기타숙박,캠핑장/펜션,콘도,호텔,일반외식업,제과음료업,골프장,관광유원시설,기타레저,문화서비스,스키장,여행업,렌터카,수상운송,육상운송,항공운송,뷰티,의료관광
강원특별자치도 강릉시,3001354406,6815175838,833612599,137327,1230593055,5915897972,9427188788,7245342980,16245861840,3021505117,1239920494,1956599659,849372068,549314689,0,541667904,826701217,3457012249,467729206,48762,669644497,238310309
강원특별자치도 고성군,1580820011,2877025656,461600763,78476,730100404,3239369674,5559138091,3827460139,8726581864,1977110353,876931639,1188412454,404122977,323839241,0,292024858,403168389,2247744119,268034028,149277,400028056,128256403
강원특별자치도 동해시,1758030988,2987710778,455529733,360290,756541685,4286982061,5690697988,4337648315,11991783506,1485607545,731395477,946130406,392886035,344134200,0,321771870,409693009,2011257202,318428170,85922,387200301,140640699
강원특별자치도 삼척시,1930061197,3001112966,381275955,152672,748789126,4183927325,5327432744,4719014037,11206254357,1865745643,875131463,1094285579,369475550,347029735,0,302106562,458617173,2019378807,309563654,172335,467955024,134209099
강원특별자치도 속초시,3254720560,6419893268,757228813,157692,1129774378,6643400616,8548903585,7904621239,17554129404,3074823089,1499377326,1667188937,758064458,658193186,0,566307247,768756366,4080606410,631599369,119631,677339787,207238430
강원특별자치도 양구군,1660850217,3244094698,498194321,23443,775208026,3814186043,4829840485,3995796095,10533651558,1886690102,899668003,945615378,424743405,340811135,0,264776678,413580519,689995,276379541,131934,378004163,107154128
강원특별자치도 양양군,1576791669,3408566393,480668065,72769,609983666,3870341606,5366943143,3669846047,9821991963,1866815231,720282775,981953704,429091530,400525535,0,296783941,461934226,2102378458,334377052,131461,496153913,120701578
강원특별자치도 영월군,1980830591,3704645349,392634633,94642,614687148,3870998229,5517247589,3617898707,10259991884,1585081336,811539385,964136162,430732996,345119714,0,252011214,415693239,2361900,316983753,110580,461967875,131514670
강원특별자치도 원주시,3084961745,5980279160,712961638,493633,1327915212,7818509497,8700510861,6967946365,19105988820,3188853317,1569903123,1906472912,828820917,717583732,0,543070734,835331598,1501913,499234963,191462,717119895,198229388
강원특별자치도 인제군,1808553259,3262363672,495381186,119588,664111522,3576484876,5781021760,4251388260,11402180619,1802314014,814276035,974298674,398230242,346893396,0,316720094,438577885,4594883,332312995,117168,462382303,137913337
강원특별자치도 정선군,1618188559,3291778132,447675556,379944,829052123,3850165608,4748086027,4593448042,10916462952,1964443815,765386464,1120238700,444791098,416621913,0,267128069,389180876,4868846,280407940,69100,487763913,133228170
