시군구,기타관광쇼핑,대형쇼핑몰,레저용품쇼핑,면세점,기타숙박,캠핑장/펜션,콘도,호텔,일반외식업,제과음료업,골프장,관광유원시설,기타레저,문화서비스,스키장,여행업,렌터카,수상운송,육상운송,항공운송,뷰티,의료관광
강원특별자치도 강릉시,2880710434,7171971513,505100742,137472,823238203,1401556893,6115415891,4806567404,13497682662,2219216753,314227311,888834147,462384870,474055641,0,443975317,448616601,363583188,390906525,36204,688128501,239647409
강원특별자치도 고성군,1605499913,3177507432,280818350,80025,498748925,752667927,3607709075,2525377521,7727309113,1327504545,219423704,543638963,217391821,278610392,0,230457755,214039409,247210596,226780298,118728,411086757,125982818
강원특별자치도 동해시,1718873427,3321908183,281844527,379295,528153972,1012234436,3893688051,2769614059,9810129139,1016688985,185853993,409018803,230445759,315058900,0,271862089,235888027,223948768,258482036,61600,381520935,142591752
강원특별자치도 삼척시,1913720452,3311510287,243843670,149626,514454826,958414764,3583351803,3214025308,9455443019,1339885828,221867131,465432872,210029771,309823535,0,251783385,247503644,215492735,271483027,127149,463781223,128484776
강원특별자치도 속초시,3123755620,6663588913,502786727,151170,748600289,1560431359,5785344552,5507785911,15680748436,2193380368,368073160,757252633,419393619,565270191,0,491032899,437646521,450560818,500636298,89838,673481175,211953722
강원특별자치도 양구군,1564649568,3520835047,322469310,24395,552174595,842351328,3291031726,2634271114,8849362287,1359951132,229392525,400496008,233602361,326737935,0,209694757,231677200,69298,232969998,99112,373195871,113084196
강원특별자치도 양양군,1684641806,3861298621,301518692,72426,413717656,953164113,3647315683,2370470214,8444662068,1397016051,181113880,418815505,236150124,364866525,0,261061959,261596907,225785666,285880502,99897,509133814,119488354
강원특별자치도 영월군,1974853240,3790758214,249910317,92944,422215560,924642863,3746177609,2433452788,8813257469,1080091439,215229092,419701376,243964792,309705482,0,214552490,230839885,252461,260957087,81970,460828384,132108462
강원특별자치도 원주시,3081901706,6213888010,436884765,481383,827732101,1789799030,5640383483,4401978445,16336317445,2325085977,385203893,790523413,478422533,647953590,29430665172,451605514,429145858,160877,410004201,135852,713061363,204121866
강원특별자치도 인제군,1745727345,3494657343,325232948,117351,443005868,864424224,3975973495,2970748292,9632048831,1283665069,210603542,420739375,221339501,316102916,0,265864117,228728887,477939,294231103,83845,445611650,134557860
강원특별자치도 정선군,1639694339,3689602575,283734016,372280,553555172,864842878,3232040638,3191716994,9380925241,1365832639,192318306,483737457,236399873,370084639,12768995276,234641856,221917693,523690,229516493,48692,497587554,140308583
강원특별자치도 철원군,1475697764,3393505334,291563320,18898,467281200,1023671748,3850429588,3044357259,9130061826,1165836742,181883807,507332368,254634600,375393194,0,234381335,237895792,618110,275194955,93951,507320170,103430081
강원특별자치도 춘천시,3186158992,6259512795,505331180,139607,825968703,1524246353,6587569324,4057054132,13314948907,2274323265,343777804,736696997,427678414,607582749,24124957961,428303437,357894695,514521,454701558,130975,833350584,240280284
강원특별자치도 태백시,1826987698,3498316298,305984252,405986,533356296,840535180,3314818246,2366990720,8761132226,1243991926,168155539,554890499,239456743,301989145,0,211904283,260647807,159532,274885996,14123,482926764,100521233
강원특별자치도 평창군,1736247786,3335284422,252959238,364083,400678754,787476824,3942574598,3024355411,8665075726,1094709737,202599794,458908536,213535224,325097193,14126604992,238457629,241322102,485844,227999186,15778,467037838,108876332
강원특별자치도 홍천군,1587218424,3856119382,248745241,457571,520858532,946918757,3614959252,2489618640,9352724935,1333470648,199668117,515013688,245047157,311504780,13585602934,226310882,224215904,472123,274481279,143879,441808482,123764810
강원특별자치도 화천군,1635972600,3365431413,285053588,109212,506601242,1006876619,3825861113,3078168973,8290917240,1059400925,217982177,511789292,275095121,315175890,0,262269479,220575323,146987,236107350,31637,462152677,108029093
강원특별자치도 횡성군,1964161917,3597000525,310972151,509319,405620463,801684738,4255244856,2998062621,8518680716,1310133860,203008019,469270347,246134889,292267868,13105617370,246160606,243204347,476189,295768197,36252,496244642,136689970
경기도 가평군,2615432267,3970216203,364236331,84924,522080893,1043634835,4820192314,3498841407,9614921089,1294084866,267184415,511634318,316755441,423861396,0,259448525,352996224,379590,353875699,159669,648789233,161302674
경기도 고양시,3747390651,7242218908,655571304,309078,1027787826,642923842,2599808259,5616411505,20006105170,2815714856,476305266,1121706856,598892147,827939177,0,480908678,519740898,232559,681436033,85436,1150642922,225254715
경기도 과천시,2385081329,4602549031,412801059,307873,631024396,330362594,1381789975,3235495066,9987754433,1729026759,272915944,596207790,323524570,482283515,0,259762177,296900987,433109,319607805,71859,525191454,134660494
경기도 광명시,2010829884,4338227630,322959106,617052,621496749,341189467,1685146531,3627458203,9883395719,1668885520,275738966,697088666,332853663,419917322,0,338023836,346235029,380118,318569605,101169,617588632,137010498
경기도 광주시,2324599284,4500616420,401444065,415458,519181996,325711401,1319077024,3046198544,9232168995,1526431842,256942926,667206613,340752305,430703646,20540792914,319561451,279945931,506245,303576937,62791,490341051,172262410
경기도 구리시,2409130782,3735337372,315489021,506651,581350472,398579540,1514928339,3772072362,10931828392,1509455630,273119316,596766395,267067234,347914069,0,299386036,306890476,142273,331030452,10740,588227927,150862185
경기도 군포시,1906244765,4949054730,365343084,603791,584722434,402800864,1705500256,3945188671,9937280021,1640770877,250432937,545939690,291191036,457774024,0,284163957,314510972,510790,341490681,32322,498003903,131373407
경기도 김포시,2350601846,4111007223,343471082,333982,596988144,414967625,1510690282,3182960967,12442661989,1436813945,235334090,525911404,292688291,412428679,0,337713505,268881240,59442,280685231,16182,603014271,148261137
