시군구,기타관광쇼핑,대형쇼핑몰,레저용품쇼핑,면세점,기타숙박,캠핑장/펜션,콘도,호텔,일반외식업,제과음료업,골프장,관광유원시설,기타레저,문화서비스,스키장,여행업,렌터카,수상운송,육상운송,항공운송,뷰티,의료관광
강원특별자치도 강릉시,2665121517,5858391359,823639020,124378,748059862,3049518331,4658280191,3761228794,14270188654,2584900139,2160680465,1443592470,662736807,490066462,0,324694223,449781267,1837404720,408657017,28064,663106119,215493649
강원특별자치도 고성군,1456461945,2530544165,456501507,74524,453112181,1748560517,2814878272,1928892325,7571474096,1623978598,1577763143,872514403,311254160,291843232,0,177070181,206525911,1218769773,225950452,83805,383725776,118306126
강원특별자치도 동해시,1545986191,2682735859,455928061,348498,466592633,2127553466,3035084320,2175833823,10260421828,1275115598,1254179456,659921728,300424685,312228725,0,195092392,223559047,1123704259,269309166,44904,369563805,121400297
강원특별자치도 삼척시,1665098288,2781046828,369273157,139646,465341776,2111782098,2726727593,2523647174,9032162414,1570242624,1553953930,757538589,288611649,320940055,0,186538524,247445324,1140364494,273279771,95776,474848563,122150416
강원특별자치도 속초시,2836022718,5637155367,784814015,140298,656774574,3455494177,4048678834,4392696526,15602688968,2660917540,2501188842,1226738587,592152114,576484186,0,350668569,431731928,2152397503,519365005,67387,693384933,196151214
강원특별자치도 양구군,1454242456,3030872868,504935162,21329,478865688,1834003094,2312865930,2032676094,8664984751,1608928383,1552734389,643615160,340553371,316925907,0,151161958,236678095,347325,236524877,70871,388843317,104734260
강원특별자치도 양양군,1470702434,3285575834,471400656,69838,389338568,1981354037,2611317968,1965809791,8479159976,1677984691,1332105510,676130483,337475101,375352336,0,184678318,259951391,1108182926,278052056,71468,519758555,109243907
강원특별자치도 영월군,1701366622,3340880214,397860342,85280,371916715,2060820272,2825162947,1888131669,8909341764,1278602366,1457924370,686555802,340763174,322900525,0,155653357,223213106,1282601,275219628,63164,474721138,120820627
강원특별자치도 원주시,2903723293,5144182065,701745411,454598,784173773,3934808161,4313968781,3489497743,15898299360,2750391439,2666499844,1338070026,665454139,661904747,0,343410976,442182242,769999,407567343,103493,734052963,177197846
강원특별자치도 인제군,1576311079,2921453249,523839608,109696,413588390,1884935945,2782042464,2311974593,10028621238,1505096445,1479564394,669274036,306107814,316361470,0,208894814,235636927,2497155,294864933,63746,464855096,120869242
강원특별자치도 정선군,1521609954,2982986105,450900511,351423,507900782,1927857820,2376256101,2528082431,9411921595,1647366039,1290556024,760867870,330286776,383732188,0,171162348,212781386,2566522,231764225,35407,495991669,127916615
강원특별자치도 철원군,1406529337,2669729499,454644667,17695,458500435,2126888018,2883146140,2318743390,9183597529,1374435764,1268257542,872758371,353293920,372946359,0,183028470,234212378,3119378,286927871,69145,490164948,96128864
