시군구,기타관광쇼핑,대형쇼핑몰,레저용품쇼핑,면세점,기타숙박,캠핑장/펜션,콘도,호텔,일반외식업,제과음료업,골프장,관광유원시설,기타레저,문화서비스,스키장,여행업,렌터카,수상운송,육상운송,항공운송,뷰티,의료관광
강원특별자치도 강릉시,2987309822,6721855069,618024997,129376,771461838,1158681799,5164923073,4136883285,12477593399,2221164860,621860644,891147102,487780779,432497802,0,376304810,403773882,462543716,383329444,33389,595304019,197104692
강원특별자치도 고성군,1654760232,2874995342,340190600,73906,461626153,649263312,3076573280,2132911830,6879712525,1412793438,464538399,535844163,222244557,264466730,0,200341474,195604439,332005587,221938296,98622,354432051,110173234
강원특별자치도 동해시,1721925036,2983106348,335479000,335617,472210451,819931415,3122927596,2398691861,8902167333,1053884040,348998871,404230569,221522591,284258978,0,222939840,218696033,301235431,273000672,55318,353626995,116477723
강원특별자치도 삼척시,1923891956,3037598814,281871357,132983,459464883,788760533,3051739522,2695839345,8634940575,1339850802,439975444,470767859,212767237,294513096,0,220627322,220672777,299663388,269852428,116391,439066775,107713235
강원특별자치도 속초시,3017328058,6416608619,536627188,139135,653987915,1273417516,4639208478,4650247454,14371140474,2163960808,749740254,741586673,417165956,541398085,0,413353396,393763525,594540782,524896361,79482,624960032,178297234
강원특별자치도 양구군,1625501922,3092385657,360164870,21877,475335150,704951319,2573824911,2240172827,8071109602,1350384537,429689441,412560542,242632221,287973639,0,179849644,203883909,98099,234926718,85272,339935105,94194602
강원특별자치도 양양군,1581905118,3361294872,336953104,68041,375768554,790381484,2769873714,2000247802,7322749151,1388916068,358985192,445917829,245091324,342502440,0,219070509,238519515,296718210,285430758,84363,462279366,98647641
강원특별자치도 영월군,1897895956,3733014791,278320450,88725,384737660,780578611,3124666248,2106398397,7929742494,1119636298,402413710,431862051,262634308,284568559,0,186611422,207081730,334751,269045829,73907,417096124,109582807
강원특별자치도 원주시,3254556470,6039450664,525199701,446230,774688468,1508004703,4541384972,4064231395,14827613355,2385494463,746027982,811638590,476370598,597148513,23952754721,384830116,417003001,211497,394008429,121421,665042044,164135865
강원특별자치도 인제군,1804385988,3229106893,369921210,107644,405728238,694957376,3024969572,2463579986,8515861869,1222890044,405726970,409048846,223715869,289307518,0,235686656,208987697,644070,289557386,72836,416700551,112703612
강원특별자치도 정선군,1675740286,3398922334,316938181,357245,485354322,751151019,2681870338,2674213095,8655048120,1389567061,386659863,469829260,249844227,352286056,10109504847,193101059,204263809,700585,241531803,43546,458188954,116840218
강원특별자치도 철원군,1506336222,2984333892,334581997,17168,439024384,853266773,3173722010,2620370696,8156407098,1175973495,375309900,512217314,262301826,342208612,0,216896808,222154632,806459,275401366,75688,450341907,86360609
강원특별자치도 춘천시,3157112242,5685504350,605084427,127472,782986157,1246135159,5057150606,3731064814,12285578684,2220928979,690228447,771674561,432735808,564174439,19969417937,366080017,338094839,661626,447531597,113022,765075505,204495144
강원특별자치도 태백시,1747928573,3233284964,344666697,358132,477419359,686318433,2535037835,2171189490,7913899127,1312542360,349286608,520956986,226980301,285443872,0,189945023,244665299,218537,277970282,11861,435501326,85123965
강원특별자치도 평창군,1802161835,3026956541,288136419,341925,387607713,668685786,3215158103,2588094088,8170383997,1084229621,394257091,494910971,208306408,305495826,11398198953,214203471,235942785,633313,220644710,14296,425930647,86346232
강원특별자치도 홍천군,1527181746,3437997008,269533763,405853,466468677,778716698,2993600807,2196288842,8809433059,1270689224,421048735,542876880,250993497,273463520,11626026463,192264162,217086878,629288,272276268,124372,391367870,105077831
강원특별자치도 화천군,1663025873,2946065863,329447746,99355,455593495,848339477,3003636133,2619304604,7440315418,1097458238,429029409,524118544,270816873,281581856,0,216458653,205828152,203090,239775729,28282,429222957,86370435
강원특별자치도 횡성군,1907535931,3209358378,350955411,471161,374827458,658742319,3352735302,2602619802,7754758882,1384823127,428214378,492411392,237553624,257113159,10567070317,206889411,220574317,664428,287829340,31091,443244030,111946330
경기도 가평군,2474061476,3669561669,445068602,78459,470452550,853902820,3999542518,3213561502,8894060569,1313570741,535257129,502715406,333057650,404880783,0,228765839,320191247,521332,356347385,139653,578525007,136952779
경기도 고양시,3765070841,6715160089,780026928,277950,948484223,551625346,2142053994,4867235869,18118457815,2864708711,934443170,1161932628,594578547,700811444,0,432446429,497972517,307995,681450943,77456,1056209287,192261284
경기도 과천시,2456349881,4127201969,475596717,289616,562708010,267767932,1076557717,2844733729,9435241944,1750152715,512107182,596638698,322342109,435927217,0,228816414,265676797,577552,302344764,60832,480931000,116224479
경기도 광명시,2003579552,3949138007,369975675,581405,541927338,295444268,1298702724,3112062317,9049674299,1637474924,565957660,704653512,324430407,381652922,0,296138646,302545051,486182,312694444,85856,580107429,115344869
경기도 광주시,2241306757,3857287751,438601711,372879,467753251,265257352,1046111176,2595952468,8822772099,1638593630,513224063,627695340,343971625,374773098,16092635176,270577114,255328761,650523,284018533,53828,450203703,142183252
경기도 구리시,2337900669,3562659117,380358103,436589,566847987,347002372,1254472029,3302116006,10050628574,1552105871,536826997,561174662,263535965,327900140,0,272305278,286455236,188709,340433319,9039,509973572,124206630
경기도 군포시,1878271593,4394010841,420449947,543934,547254791,336413133,1334774651,3333227889,9247232643,1718898337,517131676,563207739,302844743,442410412,0,247878714,285363108,709752,340949773,27666,447725650,112659660
경기도 김포시,2206462418,3655974313,373857015,324360,545065519,358142863,1269502493,2698568649,10635320424,1481589844,484955922,502400730,312169593,387575397,0,285543668,243366487,82386,281904440,13090,512806467,126411669
경기도 남양주시,1953895773,3815925807,347576493,76701,582158413,287756618,1091431975,2928367362,9565935638,1492256577,482638894,616142273,316403345,327601027,13521884592,272470593,297221676,228417,286695343,114143,469882093,113549091
경기도 동두천시,2074978869,3419114832,392670796,90207,577870744,280040759,1099604678,3070797819,9626544113,1548343388,497467633,603380689,324778015,385050587,0,273735265,264161881,108924,339138140,42658,495067017,119226144
경기도 부천시,2575281611,3558243400,372199540,1597,500663618,280710370,1159550290,2625837731,10998396433,1265583689,498877831,567447016,352896253,342621569,0,287206022,301288175,408816,319509129,18944,526500225,131357970
경기도 성남시,3864712085,7883284028,666912106,434907,980055895,545952972,1996758853,4728363769,18652049924,2600299366,956801675,987616346,548407748,683177185,0,451007352,428292408,700124,549830020,7605,821368472,242414863
경기도 수원시,4419191119,7665690860,724007934,493408,906077984,610430512,2391275747,5431566261,20695207708,3174868050,817584713,1075805556,620908177,709895511,0,509180512,558516126,59426,548381462,99821,823741084,236159784
경기도 시흥시,2502289973,3845965808,416924666,333555,588400665,354533110,1254969326,2954898717,10110262689,1503013509,487659571,565442286,306767288,336571826,0,273447796,259216486,547704,322627715,104069,539235774,129196528
경기도 안산시,2391816262,4084351747,472983499,372920,499475172,344090684,1051759182,3093050391,11131288955,1717798354,465901663,677755091,262286935,411716379,0,257227233,295249286,66415,321996368,5044,537339001,135679166
경기도 안성시,2277701628,3835918442,372963845,438547,517852627,275923402,1217685089,2890299826,10446379586,1619593053,436155225,526117066,280890430,407103953,0,229992172,313414605,136597,356681267,76239,495586633,105955763
경기도 안양시,1989792416,3549223948,458178754,197069,491144583,352923114,1283200664,2582580343,11592810647,1657446760,505233312,637725302,285216657,331771172,0,277105026,240743502,40624,311116173,146758,490373853,115128930
경기도 양주시,2340965267,4165146682,377472588,254682,500554290,319955269,1100423196,2508771703,9506119413,1654893214,479703638,532542937,270405814,377962345,0,261527027,274206072,439143,385070035,28731,445416527,135690013
경기도 양평군,2085275148,4592885027,365347441,65447,548726867,1039041012,3662175172,2712089208,10525044738,1452379172,498069156,618142720,291440930,406323365,0,252681690,241176960,548229,316307507,101353,564793263,137248715
경기도 여주시,2415943870,4762262832,398641265,386093,510527171,334211905,1052183738,2557466785,11067674646,1389544042,503704975,543896596,260233557,355924743,0,291345075,309611177,454199,303298302,103735,568606420,104532383
경기도 연천군,1855521526,3698521336,342989123,210429,573989111,323107945,1400957610,3055037289,9876716526,1703765262,481086798,499312037,334914086,367473967,0,244090639,312171887,578080,347483129,35697,528144113,141678181
경기도 오산시,2104833837,3770651703,392351367,27524,574324453,337965148,1099521592,2727804398,10622502585,1700073494,488082982,521661292,281493081,328570732,0,230629835,276152885,232624,317056149,89740,415232499,108072622
경기도 용인시,4412470446,7970607809,759210631,268848,968406383,574202027,2382721536,5448608346,18786576474,2672263647,849927174,1228772733,477801467,575951133,28596057394,393409436,535379968,342002,640705436,14898,980491975,211496756
경기도 의왕시,2568262962,3606235947,411176673,57567,496673234,331651273,1049133946,3027964368,10580869523,1414582994,550812190,536289991,267448186,405805883,0,270140079,279112286,486159,287559206,117142,450404885,125109237
경기도 의정부시,2072262171,3608961072,463562818,513582,588508356,312633987,1082335049,3456747466,10422294714,1559714824,552961929,652308082,322478783,419717036,0,266772784,280467410,680293,275537579,50956,593325504,131376719
경기도 이천시,2201005826,3904391926,368470831,297573,641228172,368548390,1337036114,2860995810,11032177006,1702894000,485580761,664671922,251235032,373717995,14286464502,228955392,242944499,94951,330029423,50613,505434168,138459896
경기도 파주시,2055353163,4323732260,429291303,99571,557759606,320170018,1361094236,2556558963,8865304357,1424965219,562960910,532935410,245985563,321917803,0,218830164,264114739,410313,382090802,62596,497602498,130900799
경기도 평택시,1830329005,3934406945,366164692,175676,485926993,259734875,995807362,3417007057,9653191731,1410628863,510546368,568570572,351698847,416071483,0,249994890,310340823,729883,370875031,94859,574556288,114140340
경기도 포천시,2461876651,4405960070,420823573,490138,470481247,308287206,1071056308,3463120180,10897725978,1674134323,524008991,565524036,306787841,394277240,15315074334,233422624,275929034,462841,367796376,9590,455683835,121347561
경기도 하남시,2237693084,4078040107,358857082,90932,525100757,298653789,997210992,3424032668,8347172941,1442437180,578086779,639659146,281367370,339601338,0,270901125,232406857,600905,294813566,4455,574415064,105498227
경기도 화성시,2367804332,4024514534,435735550,132692,594819696,307376472,1082922084,3288089554,10938751649,1604348819,571206861,661428221,308701370,403450523,0,280323406,289037702,454206,377748837,73892,442524233,134748247
경상남도 거제시,759107174,1518692088,170316094,460871,230297716,132122596,449771028,1114649092,3436263728,558162744,206345732,216182193,119811484,131489082,0,93829303,99711215,140270957,133820285,16301,204857284,56582002
경상남도 거창군,803365099,1799360959,171842890,483591,202554266,135883938,527194494,1155679033,3398768458,515361174,212452601,272442398,122908159,150219935,0,108694425,104406755,313875,121334413,109390,164826800,43880635
경상남도 고성군,877205909,1833479525,139134920,343214,246970819,128434447,434466393,1039536738,4308394953,626985458,184650257,276731651,108271930,141995445,0,105381616,114418611,154144012,119612482,7306,217085215,44497628
경상남도 김해시,800334876,1410725041,173723218,31236,217949498,139150081,441732467,1321156390,4383368259,640379266,221826550,258154754,123292164,133806501,0,119997981,113806084,304806,109759589,14998,183092119,49588654
경상남도 남해군,800637745,1447416706,172200344,353739,215552705,146458737,416837851,1221164908,4210916011,564293769,234320372,255172660,126702874,166655224,0,120392050,116621094,175393531,115461048,60403,176288896,49839019
